N5.HOG0000000,Ictalurus_punctatus---rna-XM_053685317.1
N5.HOG0001660,Ctenopharyngodon_idella---rna-XM_051906549.1
N5.HOG0001661,Nerophis_ophidion---rna-XM_061882555.1
N5.HOG0001662,Sardina_pilchardus---rna-XM_062527582.1
N5.HOG0001663,Notolabrus_celidotus---rna-XM_034677162.1
N5.HOG0001664,Morone_saxatilis---rna-XM_035675817.1
N5.HOG0001665,Channa_striata---evm.model.LG20.353
N5.HOG0001666,Albula_glossodonta---mRNA9306
N5.HOG0001667,Electrona_antarctica---g14515.t1
N5.HOG0001668,Nothobranchius_furzeri---rna-XM_054747277.1
N5.HOG0001669,Galaxias_olidus---g17907.t1
N5.HOG0001670,Silurus_asotus---mrna.C0J50_13304
N5.HOG0001671,Albula_glossodonta---mRNA7157
N5.HOG0001672,Prochilodus_magdalenae---PM_07556
N5.HOG0001673,Anabarilius_grahami---mrna.DPX16_12886
N5.HOG0001674,Cirrhinus_molitorella---evm.model.Chr24.747
N5.HOG0001675,Scortum_barcoo---S.barcoo_03196
N5.HOG0001676,Scortum_barcoo---S.barcoo_03246
N5.HOG0001677,Aplochiton_taeniatus---g11881.t1
N5.HOG0001678,Coregonus_sp_balchen---gene-CSTEINMANNI_LOCUS4562820
N5.HOG0001679,Chelmon_rostratus---id-LOC121619992
N5.HOG0001680,Oreochromis_aureus---rna-XM_039605345.1
N5.HOG0001681,Scomber_japonicus---rna-XM_053330911.1
N5.HOG0001682,Scophthalmus_maximus---id-LOC124849786
N5.HOG0001683,Myripristis_murdjan---rna-XM_030063853.1
N5.HOG0001684,Cyprinodon_tularosa---id-LOC119794805
N5.HOG0001685,Sander_lucioperca---id-LOC116039060
N5.HOG0001686,Melanotaenia_boesemani---rna-XM_042011433.1
N5.HOG0001687,Perca_fluviatilis---id-LOC120570948
N5.HOG0001688,Scortum_barcoo---S.barcoo_03175
N5.HOG0001689,Limanda_limanda---id-LOC133025665
N5.HOG0001690,Muraenolepis_orangiensis---S400034592-RA
N5.HOG0001691,Gymnothorax_javanicus---GJAV_T00104490
N5.HOG0001692,Megalops_cyprinoides---id-LOC118773799
N5.HOG0001693,Cirrhinus_molitorella---evm.model.Chr01.450
N5.HOG0001694,Engraulis_encrasicolus---rna-XM_063211894.1
N5.HOG0001695,Clupea_harengus---rna-XM_031580726.2
N5.HOG0001696,Hypomesus_transpacificus---id-LOC124478338
N5.HOG0001697,Scleropages_formosus---rna-XM_029249567.1
N5.HOG0001698,Coregonus_sp_balchen---gene-CSTEINMANNI_LOCUS3956798
N5.HOG0001699,Gymnothorax_javanicus---GJAV_T00147290
N5.HOG0001700,Prochilodus_magdalenae---PM_02603
N5.HOG0001701,Perca_flavescens---id-LOC114565015
N5.HOG0001702,Cololabis_saira---rna-XM_061741643.1
N5.HOG0001703,Synchiropus_splendidus---id-LOC128770337
N5.HOG0001704,Oncorhynchus_gorbuscha---rna-XM_046325693.1
N5.HOG0001705,Albula_glossodonta---mRNA18312
N5.HOG0001706,Tachysurus_fulvidraco---rna-XM_047819911.1
N5.HOG0001707,Alosa_sapidissima---id-LOC121697405
N5.HOG0001708,Brienomyrus_brachyistius---id-LOC125704706
N5.HOG0001709,Paramormyrops_kingsleyae---rna-XM_023825654.1
N5.HOG0001710,Xyrauchen_texanus---id-LOC127634222
N5.HOG0001711,Megalobrama_amblycephala---rna-XM_048202422.1
N5.HOG0001712,Amphiprion_ocellaris---rna-XM_055017777.1
N5.HOG0001713,Oryzias_melastigma---rna-XM_036211297.1
N5.HOG0001714,Nibea_albiflora---Mianyu0016061
N5.HOG0001715,Borostomias_antarcticus---g13190.t1
N5.HOG0001716,Scophthalmus_maximus---rna-XM_047329454.1
N5.HOG0001717,Muraenolepis_orangiensis---S400015772-RA
N5.HOG0001718,Danionella_translucida---DT03748-RA
N5.HOG0001719,Gadus_morhua---rna-XM_030379286.1
N5.HOG0001720,Limanda_limanda---rna-XM_061082888.1
N5.HOG0001721,Platichthys_flesus---rna-XM_062380702.1
N5.HOG0001722,Lampris_incognitus---rna-XM_056277568.1
N5.HOG0001723,Trichomycterus_rosablanca---rna-XM_063010780.1
N5.HOG0001724,Trichomycterus_rosablanca---rna-XM_063010281.1
N5.HOG0001725,Ictalurus_punctatus---rna-XM_017480663.3
N5.HOG0001726,Xyrauchen_texanus---rna-XM_052117545.1
N5.HOG0001727,Carassius_gibelio---rna-XM_052603062.1
N5.HOG0001728,Pleuronectes_platessa---rna-XM_053435242.1
N5.HOG0001729,Larimichthys_crocea---rna-XM_027282548.1
N5.HOG0001730,Nibea_albiflora---Mianyu0008377
N5.HOG0001731,Menidia_menidia---rna-MMEN_LOCUS19006
N5.HOG0001732,Chelmon_rostratus---rna-XM_041951611.1
N5.HOG0001733,Coregonus_suidteri---mrna.J4Q44_T00282470
N5.HOG0001734,Caranx_melampygus---mRNA11717
N5.HOG0001735,Centropristis_striata---rna-XM_059342085.1
N5.HOG0001736,Nibea_albiflora---Mianyu0008375
N5.HOG0001737,Zeus_faber---g13722.t1
N5.HOG0001738,Antennarius_maculatus---g17378.t1
N5.HOG0001739,Scatophagus_argus---rna-XM_046379267.1
N5.HOG0001740,Dissostichus_mawsoni---DM00003653-RA
N5.HOG0001741,Tetraodon_nigroviridis---gene-GSTEN_00016630_G_001
N5.HOG0001742,Epinephelus_moara---rna-XM_050073443.1
N5.HOG0001743,Muraenolepis_orangiensis---S400015712-RA
N5.HOG0001744,Trichomycterus_rosablanca---rna-XM_063013789.1
N5.HOG0001745,Muraenolepis_orangiensis---S400035722-RA
N5.HOG0001746,Megalops_atlanticus---MATL_T00156230
N5.HOG0001747,Gadus_morhua---rna-XM_030342177.1
N5.HOG0001748,Scortum_barcoo---S.barcoo_22576
N5.HOG0001749,Gadus_morhua---rna-XM_030359471.1
N5.HOG0001750,Scortum_barcoo---S.barcoo_22570
N5.HOG0001751,Cirrhinus_molitorella---evm.model.Chr02.1218
N5.HOG0001752,Channa_striata---evm.model.LG01.1829
N5.HOG0001753,Lates_japonicus---gene-AKAME5_002695800
N5.HOG0001754,Plectropomus_leopardus---rna-XM_042483222.1
N5.HOG0001755,Pimephales_promelas---rna-XM_039656683.1
N5.HOG0001756,Triplophysa_rosa---rna-XM_057330105.1
N5.HOG0001757,Cirrhinus_molitorella---evm.model.Chr02.1201
N5.HOG0001758,Osmerus_eperlanus---rna-XM_062448279.1
N5.HOG0001759,Salvelinus_fontinalis---rna-XM_055915428.1
N5.HOG0001760,Triplophysa_rosa---rna-XM_057330106.1
N5.HOG0001761,Conger_conger---rna-XM_061221743.1
N5.HOG0001762,Bagarius_yarrelli---mrna.Baya_10288
N5.HOG0001763,Aldrovandia_affinis---mrna.AAFF_T00056100
N5.HOG0001764,Sardina_pilchardus---rna-XM_062544593.1
N5.HOG0001765,Ictalurus_punctatus---rna-XM_017451812.3
N5.HOG0001766,Clarias_gariepinus---rna-XM_053490941.1
N5.HOG0001767,Triplophysa_dalaica---rna-XM_056748850.1
N5.HOG0001768,Alosa_sapidissima---rna-XM_042104644.1
N5.HOG0001769,Triplophysa_dalaica---rna-XM_056748302.1
N5.HOG0001770,Danio_aesculapii---rna-XM_056452368.1
N5.HOG0001771,Alosa_sapidissima---rna-XM_042103756.1
N5.HOG0001772,Alosa_sapidissima---rna-XM_042103752.1
N5.HOG0001773,Sardina_pilchardus---rna-XM_062541770.1
N5.HOG0001774,Triplophysa_dalaica---rna-XM_056748293.1
N5.HOG0001775,Alosa_sapidissima---rna-XM_042103417.1
N5.HOG0001776,Sardina_pilchardus---rna-XM_062544608.1
N5.HOG0001777,Alosa_sapidissima---rna-XM_042103418.1
N5.HOG0001778,Sardina_pilchardus---rna-XM_062530865.1
N5.HOG0001779,Sardina_pilchardus---rna-XM_062544556.1
N5.HOG0001780,Sardina_pilchardus---rna-XM_062544482.1
N5.HOG0001781,Sardina_pilchardus---rna-XM_062544859.1
N5.HOG0001782,Sardina_pilchardus---rna-XM_062541705.1
N5.HOG0001783,Triplophysa_tibetana---mrna_E1301_Tti019648
N5.HOG0001784,Trichomycterus_rosablanca---rna-XM_063010289.1
N5.HOG0001785,Tachysurus_fulvidraco---rna-XM_047803897.1
N5.HOG0001786,Trichomycterus_rosablanca---rna-XM_063005814.1
N5.HOG0001787,Onychostoma_macrolepis---rna-XM_058783337.1
N5.HOG0001788,Carassius_carassius---rna-XM_059519401.1
N5.HOG0001789,Anabarilius_grahami---mrna.DPX16_17302
N5.HOG0001790,Albula_glossodonta---mRNA9904
N5.HOG0001791,Oncorhynchus_kisutch---rna-XM_031817153.1
N5.HOG0001792,Caranx_melampygus---mRNA23522
N5.HOG0001793,Anabarilius_grahami---mrna.DPX16_9074
N5.HOG0001794,Scleropages_formosus---rna-XM_018739152.2
N5.HOG0001795,Scleropages_formosus---rna-XM_018732336.2
N5.HOG0001796,Silurus_meridionalis---rna-XM_046858454.1
N5.HOG0001797,Anabarilius_grahami---mrna.DPX16_17382
N5.HOG0001798,Salvelinus_namaycush---rna-XM_038978952.1
N5.HOG0001799,Anguilla_anguilla---rna-XM_035397406.1
N5.HOG0001800,Danionella_translucida---DT26645-RA
N5.HOG0001801,Paramormyrops_kingsleyae---rna-XM_023812880.1
N5.HOG0001802,Chanos_chanos---rna-XM_030783702.1
N5.HOG0001803,Chanos_chanos---rna-XM_030788847.1
N5.HOG0001804,Cirrhinus_molitorella---evm.model.Chr25.809
N5.HOG0001805,Paramormyrops_kingsleyae---rna-XM_023823825.1
N5.HOG0001806,Acanthochromis_polyacanthus---rna-XM_051946233.1
N5.HOG0001807,Myxocyprinus_asiaticus---rna-XM_051645999.1
N5.HOG0001808,Neoarius_graeffei---rna-XM_060900775.1
N5.HOG0001809,Pangasianodon_gigas---PGIGA_T00145970
N5.HOG0001810,Anabarilius_grahami---mrna.DPX16_17282
N5.HOG0001811,Mugil_cephalus---rna-XM_047575349.1
N5.HOG0001812,Syngnathoides_biaculeatus---rna-XM_061836481.1
N5.HOG0001813,Boleophthalmus_pectinirostris---rna-XM_020924926.2
N5.HOG0001814,Myxocyprinus_asiaticus---rna-XM_051710147.1
N5.HOG0001815,Coregonus_sp_balchen---gene-CSTEINMANNI_LOCUS1926219
N5.HOG0001816,Caranx_melampygus---mRNA19499
N5.HOG0001817,Toxotes_jaculatrix---rna-XM_041059452.1
N5.HOG0001818,Sinocyclocheilus_anshuiensis---rna-XM_016506649.1
N5.HOG0001819,Tachysurus_vachellii---rna-XM_060890166.1
N5.HOG0001820,Electrona_antarctica---g14461.t1
N5.HOG0001821,Sinocyclocheilus_grahami---rna-XM_016249185.1
N5.HOG0001822,Anabarilius_grahami---mrna.DPX16_17459
N5.HOG0001823,Sinocyclocheilus_rhinocerous---rna-XM_016574268.1
N5.HOG0001824,Champsocephalus_esox---g_32614.t1
N5.HOG0001825,Albula_goreensis---AGOR_T00088600
N5.HOG0001826,Hoplostethus_atlanticus---g13895.t1
N5.HOG0001827,Pleuronectes_platessa---rna-XM_053435127.1
N5.HOG0001828,Ammodytes_marinus---g15603.t1
N5.HOG0001829,Pleuronectes_platessa---rna-XM_053415414.1
N5.HOG0001830,Cyclopterus_lumpus---rna-XM_034549750.1
N5.HOG0001831,Sander_lucioperca---rna-XM_031300262.1
N5.HOG0001832,Epinephelus_moara---rna-XM_050074204.1
N5.HOG0001833,Dissostichus_eleginoides---DEt00022868.1
N5.HOG0001834,Gasterosteus_aculeatus_aculeatus---rna-XM_040168731.1
N5.HOG0001835,Gasterosteus_aculeatus_aculeatus---rna-XM_040163931.1
N5.HOG0001836,Xyrauchen_texanus---rna-XM_052133007.1
N5.HOG0001837,Engraulis_encrasicolus---rna-XM_063196938.1
N5.HOG0001838,Eleginops_maclovinus---g_7179.t1
N5.HOG0001839,Sander_lucioperca---rna-XM_031300245.2
N5.HOG0001840,Siniperca_chuatsi---rna-XM_044219306.1
N5.HOG0001841,Muraenolepis_orangiensis---S400015590-RA
N5.HOG0001842,Coregonus_clupeaformis---rna-XM_041841236.1
N5.HOG0001843,Hippoglossus_hippoglossus---rna-XM_034576701.1
N5.HOG0001844,Muraenolepis_orangiensis---S400015778-RA
N5.HOG0001845,Muraenolepis_orangiensis---S400015917-RA
N5.HOG0001846,Albula_glossodonta---mRNA14924
N5.HOG0001847,Neoarius_graeffei---rna-XM_060900772.1
N5.HOG0001848,Epinephelus_lanceolatus---rna-XM_033616480.1
N5.HOG0001849,Pungitius_pungitius---rna-XM_037451465.2
N5.HOG0001850,Epinephelus_lanceolatus---rna-XM_033648028.1
N5.HOG0001851,Cottoperca_gobio---rna-XM_029426404.1
N5.HOG0001852,Sander_lucioperca---rna-XM_031302494.2
N5.HOG0001853,Triplophysa_tibetana---mrna_E1301_Tti022109
N5.HOG0001854,Electrophorus_electricus---rna-XM_035526477.1
N5.HOG0001855,Nerophis_ophidion---rna-XM_061907758.1
N5.HOG0001856,Kryptolebias_marmoratus---rna-XM_017440008.3
N5.HOG0001857,Pimephales_promelas---rna-XM_039685268.1
N5.HOG0001858,Epinephelus_fuscoguttatus---rna-XM_049604981.1
N5.HOG0001859,Champsocephalus_esox---g_9291.t1
N5.HOG0001860,Micropterus_dolomieu---rna-XM_046035320.1
N5.HOG0001861,Nibea_albiflora---Mianyu0014352
N5.HOG0001862,Coryphaenoides_rupestris---CRUPGENE025404-RA
N5.HOG0001863,Dallia_pectoralis---mrna.DPEC_T00039810
N5.HOG0001864,Electrona_antarctica---g21070.t1
N5.HOG0001865,Oreochromis_niloticus---rna-XM_019358623.2
N5.HOG0001866,Onychostoma_macrolepis---rna-XM_058781027.1
N5.HOG0001867,Gadus_morhua---rna-XM_030362666.1
N5.HOG0001868,Nematolebias_whitei---rna-XM_037683297.1
N5.HOG0001869,Melanotaenia_boesemani---rna-XM_041986143.1
N5.HOG0001870,Pogonophryne_albipinna---S600015163-RA
N5.HOG0001871,Dissostichus_eleginoides---DEt00035203.1
N5.HOG0001872,Datnioides_undecimradiatus---g27547.t1
N5.HOG0001873,Carassius_auratus---rna-XM_026257082.1
N5.HOG0001874,Nothobranchius_furzeri---rna-XM_015946140.2
N5.HOG0001875,Electrona_antarctica---g7346.t1
N5.HOG0001876,Xyrichtys_novacula---gene-XNOV1_A018953
N5.HOG0001877,Pogonophryne_albipinna---S600024296-RA
N5.HOG0001878,Oryzias_latipes---rna-XM_011488343.3
N5.HOG0001879,Gadus_chalcogrammus---rna-XM_056606162.1
N5.HOG0001880,Brienomyrus_brachyistius---rna-XM_048970378.1
N5.HOG0001881,Carassius_gibelio---rna-XM_052545585.1
N5.HOG0001882,Siniperca_chuatsi---rna-XM_044194231.1
N5.HOG0001883,Scatophagus_argus---rna-XM_046416506.1
N5.HOG0001884,Aldrovandia_affinis---mrna.AAFF_T00007550
N5.HOG0001885,Labrus_bergylta---rna-XM_029279371.1
N5.HOG0001886,Muraenolepis_orangiensis---S400002900-RA
N5.HOG0001887,Chaenocephalus_aceratus---CAt00004541.1
N5.HOG0001888,Acanthochromis_polyacanthus---rna-XM_051953403.1
N5.HOG0001889,Dissostichus_eleginoides---DEt00009659.1
N5.HOG0001890,Oreochromis_aureus---rna-XM_031736195.2
N5.HOG0001891,Triplophysa_tibetana---mrna_E1301_Tti009173
N5.HOG0001892,Silurus_asotus---mrna.C0J50_17618
N5.HOG0001893,Gadus_macrocephalus---rna-XM_060067990.1
N5.HOG0001894,Cyprinodon_tularosa---rna-XM_038277675.1
N5.HOG0001895,Triplophysa_tibetana---mrna_E1301_Tti023361
N5.HOG0001896,Gadus_morhua---rna-XM_030371502.1
N5.HOG0001897,Xyrichtys_novacula---gene-XNOV1_A025452
N5.HOG0001898,Triplophysa_tibetana---mrna_E1301_Tti021694
N5.HOG0001899,Carassius_carassius---rna-XM_059513670.1
N5.HOG0001900,Prochilodus_magdalenae---PM_21886
N5.HOG0001901,Menidia_menidia---rna-MMEN_LOCUS10058
N5.HOG0001902,Prochilodus_magdalenae---PM_04782
N5.HOG0001903,Nothobranchius_furzeri---rna-XM_054750810.1
N5.HOG0001904,Carassius_auratus---rna-XM_026252675.1
N5.HOG0001905,Carassius_gibelio---rna-XM_052552596.1
N5.HOG0001906,Acanthopagrus_latus---rna-XM_037115563.1
N5.HOG0001907,Engraulis_encrasicolus---rna-XM_063222488.1
N5.HOG0001908,Trematomus_bernacchii---rna-XM_034121723.1
N5.HOG0001909,Paramormyrops_kingsleyae---rna-XM_023792884.1
N5.HOG0001910,Triplophysa_rosa---rna-XM_057354046.1
N5.HOG0001911,Cyprinus_carpio---rna-XM_042749602.1
N5.HOG0001912,Triplophysa_rosa---rna-XM_057325291.1
N5.HOG0001913,Nothobranchius_furzeri---rna-XM_054739964.1
N5.HOG0001914,Carassius_gibelio---rna-XM_052538345.1
N5.HOG0001915,Melanotaenia_boesemani---rna-XM_042004663.1
N5.HOG0001916,Epinephelus_moara---rna-XM_050057722.1
N5.HOG0001917,Danio_rerio---rna-XM_017351460.2
N5.HOG0001918,Oreochromis_niloticus---rna-XM_025908887.1
N5.HOG0001919,Gadus_macrocephalus---rna-XM_060051914.1
N5.HOG0001920,Chaenocephalus_aceratus---CAt00027749.1
N5.HOG0001921,Pangasianodon_hypophthalmus---rna-XM_026943212.3
N5.HOG0001922,Megalobrama_amblycephala---rna-XM_048202414.1
N5.HOG0001923,Cololabis_saira---rna-XM_061729402.1
N5.HOG0001924,Oreochromis_niloticus---rna-XM_025899777.1
N5.HOG0001925,Pogonophryne_albipinna---S600014351-RA
N5.HOG0001926,Oreochromis_aureus---rna-XM_039614266.1
N5.HOG0001927,Carassius_gibelio---rna-XM_052570777.1
N5.HOG0001928,Brienomyrus_brachyistius---rna-XM_049010462.1
N5.HOG0001929,Fundulus_heteroclitus---rna-XM_036128308.1
N5.HOG0001930,Hippocampus_zosterae---rna-XM_052088666.1
N5.HOG0001931,Cyprinus_carpio---rna-XM_042722977.1
N5.HOG0001932,Phycodurus_eques---rna-XM_061702557.1
N5.HOG0001933,Labeo_rohita---rna-XM_051096837.1
N5.HOG0001934,Rhinichthys_klamathensis_goyatoka---rna-XM_056235942.1
N5.HOG0001935,Nothobranchius_furzeri---rna-XM_054740283.1
N5.HOG0001936,Anoplopoma_fimbria---rna-XM_054627215.1
N5.HOG0001937,Labeo_rohita---rna-XM_051116520.1
N5.HOG0001938,Rhinichthys_klamathensis_goyatoka---rna-XM_056264679.1
N5.HOG0001939,Maylandia_zebra---rna-XM_024805787.1
N5.HOG0001940,Platichthys_flesus---rna-XM_062414183.1
N5.HOG0001941,Prochilodus_magdalenae---PM_10735
N5.HOG0001942,Clarias_gariepinus---rna-XM_053510727.1
N5.HOG0001943,Fundulus_heteroclitus---rna-XM_036128816.1
N5.HOG0001944,Gadus_chalcogrammus---rna-XM_056593876.1
N5.HOG0001945,Aldrovandia_affinis---mrna.AAFF_T00410850
N5.HOG0001946,Gadus_chalcogrammus---rna-XM_056587214.1
N5.HOG0001947,Chaenocephalus_aceratus---CAt00020253.1
N5.HOG0001948,Misgurnus_anguillicaudatus---rna-XM_055209402.1
N5.HOG0001949,Carassius_gibelio---rna-XM_052546772.1
N5.HOG0001950,Anabarilius_grahami---mrna.DPX16_4211
N5.HOG0001951,Cyprinus_carpio---rna-XM_042712656.1
N5.HOG0001952,Pimephales_promelas---rna-XM_039657111.1
N5.HOG0001953,Simochromis_diagramma---rna-XM_040037832.1
N5.HOG0001954,Pelmatolapia_mariae---rna-XM_063500545.1
N5.HOG0001955,Pangasianodon_hypophthalmus---rna-XM_053229087.1
N5.HOG0001956,Engraulis_encrasicolus---rna-XM_063212741.1
N5.HOG0001957,Toxotes_jaculatrix---rna-XM_041044598.1
N5.HOG0001958,Dissostichus_mawsoni---DM00003180-RA
N5.HOG0001959,Silurus_meridionalis---rna-XM_046877116.1
N5.HOG0001960,Dallia_pectoralis---mrna.DPEC_T00097700
N5.HOG0001961,Pleuronectes_platessa---rna-XM_053439675.1
N5.HOG0001962,Pelmatolapia_mariae---rna-XM_063480581.1
N5.HOG0001963,Engraulis_encrasicolus---rna-XM_063193868.1
N5.HOG0001964,Rhinichthys_klamathensis_goyatoka---rna-XM_056269730.1
N5.HOG0001965,Xyrauchen_texanus---rna-XM_052129573.1
N5.HOG0001966,Misgurnus_anguillicaudatus---rna-XM_055171556.1
N5.HOG0001967,Acanthochromis_polyacanthus---rna-XM_051954181.1
N5.HOG0001968,Gadus_morhua---rna-XM_030364835.1
N5.HOG0001969,Melanotaenia_boesemani---rna-XM_042006425.1
N5.HOG0001970,Labeo_rohita---rna-XM_051103431.1
N5.HOG0001971,Misgurnus_anguillicaudatus---rna-XM_055215221.1
N5.HOG0001972,Brienomyrus_brachyistius---rna-XM_049005255.1
N5.HOG0001973,Synaphobranchus_kaupii---mrna.SKAU_T00134410
N5.HOG0001974,Nothobranchius_furzeri---rna-XM_015946457.2
N5.HOG0001975,Megalobrama_amblycephala---rna-XM_048206919.1
N5.HOG0001976,Scomber_japonicus---rna-XM_053327369.1
N5.HOG0001977,Salarias_fasciatus---rna-XM_030103001.1
N5.HOG0001978,Pogonophryne_albipinna---S600012056-RA
N5.HOG0001979,Brienomyrus_brachyistius---rna-XM_049001164.1
N5.HOG0001980,Gymnothorax_javanicus---GJAV_T00040340
N5.HOG0001981,Sebastes_umbrosus---rna-XM_037773884.1
N5.HOG0001982,Danionella_translucida---DT18973-RA
N5.HOG0001983,Anabarilius_grahami---mrna.DPX16_18060
N5.HOG0001984,Chaenocephalus_aceratus---CAt00001083.1
N5.HOG0001985,Chaenocephalus_aceratus---CAt00035083.1
N5.HOG0001986,Salvelinus_fontinalis---rna-XM_055932468.1
N5.HOG0001987,Prochilodus_magdalenae---PM_06174
N5.HOG0001988,Ammodytes_marinus---g17262.t1
N5.HOG0001989,Anguilla_anguilla---rna-XM_035384130.1
N5.HOG0001990,Aldrovandia_affinis---mrna.AAFF_T00419370
N5.HOG0001991,Oreochromis_niloticus---rna-XM_019362385.2
N5.HOG0001992,Electrona_antarctica---g10751.t1
N5.HOG0001993,Notolabrus_celidotus---rna-XM_034680314.1
N5.HOG0001994,Carassius_auratus---rna-XM_026274738.1
N5.HOG0001995,Cyprinus_carpio---rna-XM_042754643.1
N5.HOG0001996,Megalobrama_amblycephala---rna-XM_048199640.1
N5.HOG0001997,Scortum_barcoo---S.barcoo_24126
N5.HOG0001998,Cyprinodon_tularosa---rna-XM_038296100.1
N5.HOG0001999,Scortum_barcoo---S.barcoo_07459
N5.HOG0002000,Prochilodus_magdalenae---PM_08440
N5.HOG0002001,Rhinichthys_klamathensis_goyatoka---rna-XM_056243075.1
N5.HOG0002002,Clupea_harengus---rna-XM_031574194.2
N5.HOG0002003,Danio_rerio---rna-XM_021477263.1
N5.HOG0002004,Hoplostethus_mediterraneus---g15919.t1
N5.HOG0002005,Neoarius_graeffei---rna-XM_060940216.1
N5.HOG0002006,Notolabrus_celidotus---rna-XM_034673819.1
N5.HOG0002007,Gasterosteus_aculeatus_aculeatus---rna-XM_040168133.1
N5.HOG0002008,Aldrovandia_affinis---mrna.AAFF_T00002710
N5.HOG0002009,Neoarius_graeffei---rna-XM_060943434.1
N5.HOG0002010,Corythoichthys_intestinalis---rna-XM_057831747.1
N5.HOG0002011,Entelurus_aequoreus---rna-XM_062047503.1
N5.HOG0002012,Synaphobranchus_kaupii---mrna.SKAU_T00217800
N5.HOG0002013,Carassius_gibelio---rna-XM_052580592.1
N5.HOG0002014,Collichthys_lucidus---mrna_D9C73_028515
N5.HOG0002015,Gasterosteus_aculeatus_aculeatus---rna-XM_040168906.1
N5.HOG0002016,Haplochromis_burtoni---rna-XM_042227325.1
N5.HOG0002017,Anabarilius_grahami---mrna.DPX16_21287
N5.HOG0002018,Syngnathus_typhle---rna-XM_061269191.1
N5.HOG0002019,Takifugu_flavidus---rna-XM_057031139.1
N5.HOG0002020,Acanthopagrus_latus---rna-XM_037088752.1
N5.HOG0002021,Simochromis_diagramma---rna-XM_040008080.1
N5.HOG0002022,Oreochromis_niloticus---rna-XM_019359329.2
N5.HOG0002023,Carassius_gibelio---rna-XM_052546265.1
N5.HOG0002024,Misgurnus_anguillicaudatus---rna-XM_055178951.1
N5.HOG0002025,Corythoichthys_intestinalis---rna-XM_057839378.1
N5.HOG0002026,Gadus_morhua---rna-XM_030381619.1
N5.HOG0002027,Pleuronectes_platessa---rna-XM_053416765.1
N5.HOG0002028,Micropterus_salmoides---rna-XM_038716063.1
N5.HOG0002029,Nothobranchius_furzeri---rna-XM_054743786.1
N5.HOG0002030,Xiphophorus_hellerii---rna-XM_032574613.1
N5.HOG0002031,Solea_solea---rna-XM_058626585.1
N5.HOG0002032,Megalobrama_amblycephala---rna-XM_048203971.1
N5.HOG0002033,Puntigrus_tetrazona---rna-XM_043232801.1
N5.HOG0002034,Trichomycterus_rosablanca---rna-XM_063013091.1
N5.HOG0002035,Nothobranchius_furzeri---rna-XM_054740040.1
N5.HOG0002036,Corythoichthys_intestinalis---rna-XM_057853555.1
N5.HOG0002037,Carassius_auratus---rna-XM_026239556.1
N5.HOG0002038,Oreochromis_niloticus---rna-XM_025907595.1
N5.HOG0002039,Oreochromis_niloticus---rna-XM_025908951.1
N5.HOG0002040,Misgurnus_anguillicaudatus---rna-XM_055179602.1
N5.HOG0002041,Acanthochromis_polyacanthus---rna-XM_051936807.1
N5.HOG0002042,Xyrichtys_novacula---rna-XNOV1_A024176
N5.HOG0002043,Synaphobranchus_kaupii---mrna.SKAU_T00153120
N5.HOG0002044,Xiphophorus_couchianus---rna-XM_028036086.1
N5.HOG0002045,Acanthochromis_polyacanthus---rna-XM_051958884.1
N5.HOG0002046,Ictalurus_punctatus---rna-XM_047153972.2
N5.HOG0002047,Oreochromis_niloticus---rna-XM_019351302.2
N5.HOG0002048,Engraulis_encrasicolus---rna-XM_063196637.1
N5.HOG0002049,Hemibagrus_guttatus---male_00223
N5.HOG0002050,Melanotaenia_boesemani---rna-XM_041984424.1
N5.HOG0002051,Entelurus_aequoreus---rna-XM_062043538.1
N5.HOG0002052,Xiphophorus_hellerii---rna-XM_032555716.1
N5.HOG0002053,Oreochromis_niloticus---rna-XM_025904708.1
N5.HOG0002054,Misgurnus_anguillicaudatus---rna-XM_055178546.1
N5.HOG0002055,Chelmon_rostratus---rna-XM_041938626.1
N5.HOG0002056,Centroberyx_gerrardi---g505.t1
N5.HOG0002057,Synaphobranchus_kaupii---mrna.SKAU_T00078330
N5.HOG0002058,Pygocentrus_nattereri---rna-XM_037535961.1
N5.HOG0002059,Synaphobranchus_kaupii---mrna.SKAU_T00385480
N5.HOG0002060,Albula_glossodonta---mRNA25832
N5.HOG0002061,Coregonus_suidteri---mrna.J4Q44_T00086440
N5.HOG0002062,Synaphobranchus_kaupii---mrna.SKAU_T00238390
N5.HOG0002063,Aldrovandia_affinis---mrna.AAFF_T00158550
N5.HOG0002064,Dallia_pectoralis---mrna.DPEC_T00127240
N5.HOG0002065,Carassius_auratus---rna-XM_026215511.1
N5.HOG0002066,Pungitius_pungitius---rna-XM_062564349.1
N5.HOG0002067,Hypomesus_transpacificus---rna-XM_047023623.1
N5.HOG0002068,Oreochromis_niloticus---rna-XM_025905183.1
N5.HOG0002069,Prochilodus_magdalenae---PM_00097
N5.HOG0002070,Silurus_meridionalis---rna-XM_046847102.1
N5.HOG0002071,Gambusia_affinis---rna-XM_044121903.1
N5.HOG0002072,Oreochromis_niloticus---rna-XM_025899189.1
N5.HOG0002073,Corythoichthys_intestinalis---rna-XM_057857068.1
N5.HOG0002074,Corythoichthys_intestinalis---rna-XM_057851362.1
N5.HOG0002075,Labrus_bergylta---rna-XM_029282727.1
N5.HOG0002076,Aldrovandia_affinis---mrna.AAFF_T00401180
N5.HOG0002077,Dallia_pectoralis---mrna.DPEC_T00042470
