Gene stable ID	Human gene stable ID	Human gene name
ENSDARG00000074897	ENSG00000069812	HES2
ENSDARG00000100397	ENSG00000095464	PDE6C
ENSDARG00000068580		
ENSDARG00000017240		
ENSDARG00000038612	ENSG00000080572	DNAAF6
ENSDARG00000039878	ENSG00000110497	AMBRA1
ENSDARG00000059507	ENSG00000181104	F2R
ENSDARG00000056102	ENSG00000115652	UXS1
ENSDARG00000095332		
ENSDARG00000026090	ENSG00000170222	ADPRM
ENSDARG00000007358	ENSG00000186810	CXCR3
ENSDARG00000070669	ENSG00000186810	CXCR3
ENSDARG00000075545	ENSG00000169955	ZNF747
ENSDARG00000075545	ENSG00000169951	ZNF764
ENSDARG00000075545	ENSG00000197162	ZNF785
ENSDARG00000075545	ENSG00000170949	ZNF160
ENSDARG00000075545	ENSG00000197497	ZNF665
ENSDARG00000075545	ENSG00000197937	ZNF347
ENSDARG00000075545	ENSG00000160321	ZNF208
ENSDARG00000075545	ENSG00000124092	CTCFL
ENSDARG00000075545	ENSG00000167232	ZNF91
ENSDARG00000075545	ENSG00000180035	ZNF48
ENSDARG00000075545	ENSG00000174586	ZNF497
ENSDARG00000075545	ENSG00000213973	ZNF99
ENSDARG00000075545	ENSG00000196350	ZNF729
ENSDARG00000075545	ENSG00000096654	ZNF184
ENSDARG00000075545	ENSG00000197841	ZNF181
ENSDARG00000075545	ENSG00000089335	ZNF302
ENSDARG00000075545	ENSG00000189420	ZFP92
ENSDARG00000075545	ENSG00000170265	ZNF282
ENSDARG00000075545	ENSG00000156853	ZNF689
ENSDARG00000075545	ENSG00000196247	ZNF107
ENSDARG00000075545	ENSG00000229809	ZNF688
ENSDARG00000075545	ENSG00000198040	ZNF84
ENSDARG00000032862	ENSG00000135220	UGT2A3
ENSDARG00000032862	ENSG00000167165	UGT1A6
ENSDARG00000032862	ENSG00000241119	UGT1A9
ENSDARG00000032862	ENSG00000242366	UGT1A8
ENSDARG00000032862	ENSG00000242515	UGT1A10
ENSDARG00000032862	ENSG00000244122	UGT1A7
ENSDARG00000032862	ENSG00000197888	UGT2B17
ENSDARG00000032862	ENSG00000196620	UGT2B15
ENSDARG00000032862	ENSG00000145626	UGT3A1
ENSDARG00000032862	ENSG00000288702	UGT1A3
ENSDARG00000032862	ENSG00000288705	UGT1A5
ENSDARG00000032862	ENSG00000244474	UGT1A4
ENSDARG00000032862	ENSG00000109181	UGT2B10
ENSDARG00000032862	ENSG00000135226	UGT2B28
ENSDARG00000032862	ENSG00000213759	UGT2B11
ENSDARG00000032862	ENSG00000271271	UGT2A2
ENSDARG00000032862	ENSG00000173610	UGT2A1
ENSDARG00000032862	ENSG00000171234	UGT2B7
ENSDARG00000032862	ENSG00000156096	UGT2B4
ENSDARG00000087440		
ENSDARG00000017612	ENSG00000108439	PNPO
ENSDARG00000003705		
ENSDARG00000011929	ENSG00000123560	PLP1
ENSDARG00000016480	ENSG00000104888	SLC17A7
ENSDARG00000098405	ENSG00000095015	MAP3K1
ENSDARG00000060361	ENSG00000116198	CEP104
ENSDARG00000061243	ENSG00000154127	UBASH3B
ENSDARG00000041115	ENSG00000105427	CNFN
ENSDARG00000016769	ENSG00000197860	SGTB
ENSDARG00000087290		
ENSDARG00000002210	ENSG00000115694	STK25
ENSDARG00000045141	ENSG00000103375	AQP8
ENSDARG00000042157	ENSG00000185250	PPIL6
ENSDARG00000079620	ENSG00000181754	AMIGO1
ENSDARG00000078751	ENSG00000134900	TPP2
ENSDARG00000059397	ENSG00000179002	TAS1R2
ENSDARG00000003287	ENSG00000138442	WDR12
ENSDARG00000062020	ENSG00000131149	GSE1
ENSDARG00000105232	ENSG00000131943	C19orf12
ENSDARG00000034210		
ENSDARG00000009262	ENSG00000064763	FAR2
ENSDARG00000070786		
ENSDARG00000055284	ENSG00000196526	AFAP1
ENSDARG00000012972		
ENSDARG00000094908		
ENSDARG00000097284		
ENSDARG00000005908	ENSG00000013441	CLK1
ENSDARG00000075904	ENSG00000132005	RFX1
ENSDARG00000086337	ENSG00000234465	PINLYP
ENSDARG00000086337	ENSG00000259823	LYPD8
ENSDARG00000061121	ENSG00000150471	ADGRL3
ENSDARG00000076945		
ENSDARG00000059789	ENSG00000151883	PARP8
ENSDARG00000022424	ENSG00000170615	SLC26A5
ENSDARG00000055740	ENSG00000139266	MARCHF9
ENSDARG00000094554		
ENSDARG00000059280	ENSG00000128652	HOXD3
ENSDARG00000077983	ENSG00000188092	GPR89B
ENSDARG00000077983	ENSG00000117262	GPR89A
ENSDARG00000025034	ENSG00000127561	SYNGR3
ENSDARG00000095802	ENSG00000179270	PCARE
ENSDARG00000077960		
ENSDARG00000099375	ENSG00000100227	POLDIP3
ENSDARG00000056294	ENSG00000188322	SBK1
ENSDARG00000030957	ENSG00000119820	YIPF4
ENSDARG00000104488		
ENSDARG00000021439	ENSG00000266412	NCOA4
ENSDARG00000099745		
ENSDARG00000045402	ENSG00000148444	COMMD3
ENSDARG00000057680		
ENSDARG00000015749	ENSG00000163755	HPS3
ENSDARG00000043907	ENSG00000161958	FGF11
ENSDARG00000103428	ENSG00000105953	OGDH
ENSDARG00000095157	ENSG00000096092	TMEM14A
ENSDARG00000063089	ENSG00000101331	CCM2L
ENSDARG00000076958		
ENSDARG00000101290		
ENSDARG00000058829		
ENSDARG00000105479		
ENSDARG00000093249		
ENSDARG00000045909	ENSG00000146425	DYNLT1
ENSDARG00000003822	ENSG00000134461	ANKRD16
ENSDARG00000032868	ENSG00000184588	PDE4B
ENSDARG00000058244	ENSG00000056736	IL17RB
ENSDARG00000058244	ENSG00000163702	IL17RC
ENSDARG00000095741		
ENSDARG00000074074	ENSG00000173456	RNF26
ENSDARG00000001993		
ENSDARG00000002909	ENSG00000105289	TJP3
ENSDARG00000035559	ENSG00000141510	TP53
ENSDARG00000015254	ENSG00000105325	FZR1
ENSDARG00000025891	ENSG00000185960	SHOX
ENSDARG00000069286	ENSG00000164182	NDUFAF2
ENSDARG00000086358		
ENSDARG00000035285	ENSG00000141027	NCOR1
ENSDARG00000058492	ENSG00000172831	CES2
ENSDARG00000058492	ENSG00000198848	CES1
ENSDARG00000058492	ENSG00000159398	CES5A
ENSDARG00000092520		
ENSDARG00000071581		
ENSDARG00000020876	ENSG00000005882	PDK2
ENSDARG00000055760	ENSG00000116649	SRM
ENSDARG00000100544		
ENSDARG00000014018		
ENSDARG00000060315	ENSG00000152061	RABGAP1L
ENSDARG00000091234		
ENSDARG00000042658	ENSG00000151498	ACAD8
ENSDARG00000039099		
ENSDARG00000002991	ENSG00000126001	CEP250
ENSDARG00000061718	ENSG00000164684	ZNF704
ENSDARG00000056376	ENSG00000186352	ANKRD37
ENSDARG00000099673		
ENSDARG00000004706	ENSG00000117614	SYF2
ENSDARG00000089461	ENSG00000148337	CIZ1
ENSDARG00000023267	ENSG00000138138	ATAD1
ENSDARG00000003414	ENSG00000152611	CAPSL
ENSDARG00000091277	ENSG00000183389	OR56A4
ENSDARG00000091277	ENSG00000180934	OR56A1
ENSDARG00000091277	ENSG00000184478	OR56A3
ENSDARG00000091277	ENSG00000186881	OR13F1
ENSDARG00000091277	ENSG00000188691	OR56A5
ENSDARG00000102879	ENSG00000196132	MYT1
ENSDARG00000042261		
ENSDARG00000041182	ENSG00000174444	RPL4
ENSDARG00000095272		
ENSDARG00000103388	ENSG00000180357	ZNF609
ENSDARG00000095369		
ENSDARG00000042116		
ENSDARG00000104649	ENSG00000163840	DTX3L
ENSDARG00000056640	ENSG00000153574	RPIA
ENSDARG00000053987		
ENSDARG00000075870	ENSG00000100106	TRIOBP
ENSDARG00000021488	ENSG00000108669	CYTH1
ENSDARG00000036863	ENSG00000176658	MYO1D
ENSDARG00000092361	ENSG00000137959	IFI44L
ENSDARG00000092361	ENSG00000137965	IFI44
ENSDARG00000046148	ENSG00000163154	TNFAIP8L2
ENSDARG00000104457	ENSG00000156968	MPV17L
ENSDARG00000003444	ENSG00000100612	DHRS7
ENSDARG00000077845		
ENSDARG00000077788	ENSG00000104728	ARHGEF10
ENSDARG00000043548	ENSG00000130734	ATG4D
ENSDARG00000071425	ENSG00000109065	NAT9
ENSDARG00000103786	ENSG00000198642	KLHL9
ENSDARG00000103786	ENSG00000003096	KLHL13
ENSDARG00000099712		
ENSDARG00000104531	ENSG00000168228	ZCCHC4
ENSDARG00000073978	ENSG00000143320	CRABP2
ENSDARG00000075800	ENSG00000129007	CALML4
ENSDARG00000068683	ENSG00000083937	CHMP2B
ENSDARG00000012553		
ENSDARG00000036227	ENSG00000105954	NPVF
ENSDARG00000003635		
ENSDARG00000031968		
ENSDARG00000075532	ENSG00000088836	SLC4A11
ENSDARG00000029885		
ENSDARG00000018980		
ENSDARG00000077920	ENSG00000164796	CSMD3
ENSDARG00000043196	ENSG00000258818	RNASE4
ENSDARG00000105461		
ENSDARG00000005626	ENSG00000116574	RHOU
ENSDARG00000076435	ENSG00000144827	ABHD10
ENSDARG00000013500	ENSG00000107331	ABCA2
ENSDARG00000036678	ENSG00000145331	TRMT10A
ENSDARG00000103235	ENSG00000164073	MFSD8
ENSDARG00000090560	ENSG00000197614	MFAP5
ENSDARG00000101322	ENSG00000072274	TFRC
ENSDARG00000036076	ENSG00000155393	HEATR3
ENSDARG00000069026	ENSG00000164742	ADCY1
ENSDARG00000060112	ENSG00000147642	SYBU
ENSDARG00000055100	ENSG00000107562	CXCL12
ENSDARG00000063731	ENSG00000155636	RBM45
ENSDARG00000068691	ENSG00000180332	KCTD4
ENSDARG00000018327	ENSG00000152672	CLEC4F
ENSDARG00000058256	ENSG00000162490	DRAXIN
ENSDARG00000067613	ENSG00000059769	DNAJC25
ENSDARG00000044588	ENSG00000213853	EMP2
ENSDARG00000042848		
ENSDARG00000026383		
ENSDARG00000011076		
ENSDARG00000036569		
ENSDARG00000059234	ENSG00000113048	MRPS27
ENSDARG00000063438	ENSG00000198911	SREBF2
ENSDARG00000055206	ENSG00000047579	DTNBP1
ENSDARG00000029242	ENSG00000110429	FBXO3
ENSDARG00000056781		
ENSDARG00000018032	ENSG00000196876	SCN8A
ENSDARG00000013653	ENSG00000162618	ADGRL4
ENSDARG00000090895	ENSG00000120071	KANSL1
ENSDARG00000042557		
ENSDARG00000025495		
ENSDARG00000079653		
ENSDARG00000077012	ENSG00000151247	EIF4E
ENSDARG00000077224		
ENSDARG00000056926	ENSG00000149295	DRD2
ENSDARG00000019230		
ENSDARG00000010280	ENSG00000074054	CLASP1
ENSDARG00000016496	ENSG00000132964	CDK8
ENSDARG00000088813	ENSG00000154415	PPP1R3A
ENSDARG00000035438		
ENSDARG00000028780	ENSG00000116176	TPSG1
ENSDARG00000028780	ENSG00000095917	TPSD1
ENSDARG00000028780	ENSG00000172236	TPSAB1
ENSDARG00000028780	ENSG00000197253	TPSB2
ENSDARG00000057928	ENSG00000173272	MZT2A
ENSDARG00000057928	ENSG00000152082	MZT2B
ENSDARG00000018953	ENSG00000023909	GCLM
ENSDARG00000058906	ENSG00000134873	CLDN10
ENSDARG00000102295	ENSG00000103423	DNAJA3
ENSDARG00000019231	ENSG00000197694	SPTAN1
ENSDARG00000006397	ENSG00000068697	LAPTM4A
ENSDARG00000056830	ENSG00000214753	HNRNPUL2
ENSDARG00000011487	ENSG00000156052	GNAQ
ENSDARG00000073756	ENSG00000113504	SLC12A7
ENSDARG00000091831	ENSG00000124228	DDX27
ENSDARG00000029479		
ENSDARG00000073923	ENSG00000133597	ADCK2
ENSDARG00000062854		
ENSDARG00000056618	ENSG00000047597	XK
ENSDARG00000020841	ENSG00000076053	RBM7
ENSDARG00000104936	ENSG00000180190	TDRP
ENSDARG00000039310	ENSG00000175193	PARL
ENSDARG00000059079	ENSG00000131475	VPS25
ENSDARG00000063191	ENSG00000162694	EXTL2
ENSDARG00000016611	ENSG00000144306	SCRN3
ENSDARG00000097720		
ENSDARG00000098857	ENSG00000096996	IL12RB1
ENSDARG00000098857	ENSG00000145623	OSMR
ENSDARG00000098857	ENSG00000160712	IL6R
ENSDARG00000098857	ENSG00000162594	IL23R
ENSDARG00000098857	ENSG00000205755	CRLF2
ENSDARG00000098857	ENSG00000147168	IL2RG
ENSDARG00000098857	ENSG00000104998	IL27RA
ENSDARG00000098857	ENSG00000185291	IL3RA
ENSDARG00000034768	ENSG00000118482	PHF3
ENSDARG00000041505	ENSG00000136156	ITM2B
ENSDARG00000069733	ENSG00000088888	MAVS
ENSDARG00000053058	ENSG00000142534	RPS11
ENSDARG00000069103		
ENSDARG00000113707		
ENSDARG00000045172	ENSG00000107789	MINPP1
ENSDARG00000042934	ENSG00000118523	CCN2
ENSDARG00000002952	ENSG00000128602	SMO
ENSDARG00000056856	ENSG00000106052	TAX1BP1
ENSDARG00000042522	ENSG00000134152	KATNBL1
ENSDARG00000104179	ENSG00000135631	RAB11FIP5
ENSDARG00000075592	ENSG00000163154	TNFAIP8L2
ENSDARG00000014091	ENSG00000143867	OSR1
ENSDARG00000056328	ENSG00000140983	RHOT2
ENSDARG00000071347	ENSG00000119844	AFTPH
ENSDARG00000009823	ENSG00000248483	POU5F2
ENSDARG00000009823	ENSG00000185668	POU3F1
ENSDARG00000009823	ENSG00000212993	POU5F1B
ENSDARG00000009823	ENSG00000204531	POU5F1
ENSDARG00000036412	ENSG00000160838	LRRC71
ENSDARG00000039350	ENSG00000106028	SSBP1
ENSDARG00000032865	ENSG00000124507	PACSIN1
ENSDARG00000044325	ENSG00000157349	DDX19B
ENSDARG00000044325	ENSG00000168872	DDX19A
ENSDARG00000039302	ENSG00000132604	TERF2
ENSDARG00000099796		
ENSDARG00000003872	ENSG00000135736	CCDC102A
ENSDARG00000090646	ENSG00000061938	TNK2
ENSDARG00000089824	ENSG00000147145	LPAR4
ENSDARG00000014587	ENSG00000186335	SLC36A2
ENSDARG00000014587	ENSG00000186334	SLC36A3
ENSDARG00000075600		
ENSDARG00000069540		
ENSDARG00000010376	ENSG00000198743	SLC5A3
ENSDARG00000010376	ENSG00000293606	
ENSDARG00000109737		
ENSDARG00000099428		
ENSDARG00000104287		
ENSDARG00000093704		
ENSDARG00000100392	ENSG00000231500	RPS18
ENSDARG00000059064	ENSG00000153179	RASSF3
ENSDARG00000037954	ENSG00000105048	TNNT1
ENSDARG00000055784	ENSG00000070159	PTPN3
ENSDARG00000017781	ENSG00000072506	HSD17B10
ENSDARG00000103853		
ENSDARG00000025254	ENSG00000163221	S100A12
ENSDARG00000104961		
ENSDARG00000036700		
ENSDARG00000017246		
ENSDARG00000059883	ENSG00000187688	TRPV2
ENSDARG00000095046	ENSG00000106628	POLD2
ENSDARG00000075561	ENSG00000156689	GLYATL2
ENSDARG00000075561	ENSG00000149124	GLYAT
ENSDARG00000075561	ENSG00000255151	GLYATL1B
ENSDARG00000075561	ENSG00000203972	GLYATL3
ENSDARG00000075561	ENSG00000166840	GLYATL1
ENSDARG00000098771	ENSG00000141570	CBX8
ENSDARG00000018478	ENSG00000172482	AGXT
ENSDARG00000056541	ENSG00000169297	NR0B1
ENSDARG00000043666	ENSG00000146109	ABT1
ENSDARG00000031307	ENSG00000174963	ZIC4
ENSDARG00000102883	ENSG00000115306	SPTBN1
ENSDARG00000071042	ENSG00000164411	GJB7
ENSDARG00000035569		
ENSDARG00000076611	ENSG00000135108	FBXO21
ENSDARG00000098345	ENSG00000165072	MAMDC2
ENSDARG00000038293		
ENSDARG00000056165	ENSG00000204564	C6orf136
ENSDARG00000019838	ENSG00000109814	UGDH
ENSDARG00000094345		
ENSDARG00000102538	ENSG00000078070	MCCC1
ENSDARG00000052099	ENSG00000172482	AGXT
ENSDARG00000005479		
ENSDARG00000058100	ENSG00000179913	B3GNT3
ENSDARG00000090581	ENSG00000160193	WDR4
ENSDARG00000071103		
ENSDARG00000055317	ENSG00000186897	C1QL4
ENSDARG00000103542	ENSG00000112715	VEGFA
ENSDARG00000038876		
ENSDARG00000020761	ENSG00000105643	ARRDC2
ENSDARG00000039434	ENSG00000112038	OPRM1
ENSDARG00000041550		
ENSDARG00000018241	ENSG00000140259	MFAP1
ENSDARG00000092731		
ENSDARG00000056913	ENSG00000106333	PCOLCE
ENSDARG00000005456	ENSG00000140854	KATNB1
ENSDARG00000039970	ENSG00000188822	CNR2
ENSDARG00000088589		
ENSDARG00000076351	ENSG00000198797	BRINP2
ENSDARG00000020611	ENSG00000160392	C19orf47
ENSDARG00000069150	ENSG00000143622	RIT1
ENSDARG00000058045		
ENSDARG00000051731	ENSG00000131944	FAAP24
ENSDARG00000063411	ENSG00000204052	LRRC73
ENSDARG00000040838	ENSG00000150401	DCUN1D2
ENSDARG00000016695	ENSG00000108405	P2RX1
ENSDARG00000020178	ENSG00000139910	NOVA1
ENSDARG00000098995		
ENSDARG00000077364	ENSG00000050748	MAPK9
ENSDARG00000004874	ENSG00000106686	SPATA6L
ENSDARG00000046079	ENSG00000130433	CACNG6
ENSDARG00000103071		
ENSDARG00000067851		
ENSDARG00000055852	ENSG00000168412	MTNR1A
ENSDARG00000007941	ENSG00000078399	HOXA9
ENSDARG00000088260		
ENSDARG00000059858	ENSG00000182752	PAPPA
ENSDARG00000099182	ENSG00000164512	ANKRD55
ENSDARG00000008279	ENSG00000076984	MAP2K7
ENSDARG00000056268	ENSG00000162650	ATXN7L2
ENSDARG00000005540	ENSG00000130227	XPO7
ENSDARG00000039435	ENSG00000091844	RGS17
ENSDARG00000010658	ENSG00000186480	INSIG1
ENSDARG00000068114	ENSG00000158769	F11R
ENSDARG00000091042	ENSG00000151835	SACS
ENSDARG00000025858	ENSG00000135052	GOLM1
ENSDARG00000075090		
ENSDARG00000045071		
ENSDARG00000097339	ENSG00000090020	SLC9A1
ENSDARG00000034943		
ENSDARG00000004023	ENSG00000016082	ISL1
ENSDARG00000040252	ENSG00000163399	ATP1A1
ENSDARG00000042722	ENSG00000095585	BLNK
ENSDARG00000088630	ENSG00000074964	ARHGEF10L
ENSDARG00000098916	ENSG00000001631	KRIT1
ENSDARG00000095532		
ENSDARG00000061544	ENSG00000177119	ANO6
ENSDARG00000061687	ENSG00000124788	ATXN1
ENSDARG00000104636		
ENSDARG00000009942	ENSG00000094804	CDC6
ENSDARG00000059931	ENSG00000068001	HYAL2
ENSDARG00000104097	ENSG00000186501	TMEM222
ENSDARG00000059916	ENSG00000114378	HYAL1
ENSDARG00000100097	ENSG00000197063	MAFG
ENSDARG00000104947		
ENSDARG00000055539	ENSG00000086289	EPDR1
ENSDARG00000021433	ENSG00000169093	ASMTL
ENSDARG00000094002		
ENSDARG00000097239		
ENSDARG00000100462		
ENSDARG00000017785		
ENSDARG00000096081	ENSG00000161328	LRRC56
ENSDARG00000032990	ENSG00000198753	PLXNB3
ENSDARG00000076182	ENSG00000115415	STAT1
ENSDARG00000025147	ENSG00000135404	CD63
ENSDARG00000100166	ENSG00000167971	CASKIN1
ENSDARG00000030441	ENSG00000180817	PPA1
ENSDARG00000056191		
ENSDARG00000022271		
ENSDARG00000069014	ENSG00000131697	NPHP4
ENSDARG00000036952	ENSG00000260903	XKR7
ENSDARG00000036180	ENSG00000157456	CCNB2
ENSDARG00000092222		
ENSDARG00000075565	ENSG00000061337	LZTS1
ENSDARG00000012747	ENSG00000157916	RER1
ENSDARG00000056111	ENSG00000163431	LMOD1
ENSDARG00000036457	ENSG00000130433	CACNG6
ENSDARG00000038905	ENSG00000126107	HECTD3
ENSDARG00000062289		
ENSDARG00000030267	ENSG00000122034	GTF3A
ENSDARG00000011422	ENSG00000196218	RYR1
ENSDARG00000063310	ENSG00000164830	OXR1
ENSDARG00000100564	ENSG00000120725	SIL1
ENSDARG00000077382		
ENSDARG00000040594		
ENSDARG00000079712	ENSG00000197093	GAL3ST4
ENSDARG00000012823	ENSG00000080845	DLGAP4
ENSDARG00000003925	ENSG00000189280	GJB5
ENSDARG00000003925	ENSG00000189433	GJB4
ENSDARG00000087863	ENSG00000026508	CD44
ENSDARG00000040547	ENSG00000109956	B3GAT1
ENSDARG00000019907	ENSG00000136982	DSCC1
ENSDARG00000027143	ENSG00000137074	APTX
ENSDARG00000024017	ENSG00000139915	MDGA2
ENSDARG00000033832	ENSG00000116748	AMPD1
ENSDARG00000038789	ENSG00000126106	TMEM53
ENSDARG00000092934		
ENSDARG00000015174	ENSG00000033627	ATP6V0A1
ENSDARG00000096933		
ENSDARG00000068708	ENSG00000006652	IFRD1
ENSDARG00000101949	ENSG00000105245	NUMBL
ENSDARG00000089781	ENSG00000148337	CIZ1
ENSDARG00000087704	ENSG00000146013	GFRA3
ENSDARG00000014792	ENSG00000131409	LRRC4B
ENSDARG00000041081	ENSG00000110066	KMT5B
ENSDARG00000099779		
ENSDARG00000008976	ENSG00000112159	MDN1
ENSDARG00000098813	ENSG00000117758	STX12
ENSDARG00000062830	ENSG00000174016	TENT5D
ENSDARG00000004633	ENSG00000049283	EPN3
ENSDARG00000028067	ENSG00000104765	BNIP3L
ENSDARG00000016457	ENSG00000213928	IRF9
ENSDARG00000001710	ENSG00000137312	FLOT1
ENSDARG00000089698	ENSG00000166669	ATF7IP2
ENSDARG00000021805	ENSG00000104953	TLE6
ENSDARG00000035009		
ENSDARG00000079385		
ENSDARG00000033647	ENSG00000099956	SMARCB1
ENSDARG00000058943	ENSG00000163814	CDCP1
ENSDARG00000077229	ENSG00000074855	ANO8
ENSDARG00000087438		
ENSDARG00000077295	ENSG00000151320	AKAP6
ENSDARG00000001897	ENSG00000104774	MAN2B1
ENSDARG00000056647	ENSG00000146021	KLHL3
ENSDARG00000002002	ENSG00000071282	LMCD1
ENSDARG00000068456	ENSG00000142046	TMEM91
ENSDARG00000042827	ENSG00000181915	ADO
ENSDARG00000101234	ENSG00000165802	NSMF
ENSDARG00000019774	ENSG00000174306	ZHX3
ENSDARG00000025847		
ENSDARG00000002536	ENSG00000101337	TM9SF4
ENSDARG00000057826		
ENSDARG00000104101	ENSG00000060709	RIMBP2
ENSDARG00000019717	ENSG00000105717	PBX4
ENSDARG00000019717	ENSG00000153779	TGIF2LX
ENSDARG00000019717	ENSG00000176679	TGIF2LY
ENSDARG00000091771	ENSG00000140280	LYSMD2
ENSDARG00000077407	ENSG00000141428	C18orf21
ENSDARG00000010231	ENSG00000155367	PPM1J
ENSDARG00000010231	ENSG00000164088	PPM1M
ENSDARG00000010231	ENSG00000213889	PPM1N
ENSDARG00000044513		
ENSDARG00000079333		
ENSDARG00000104643	ENSG00000152086	TUBA3E
ENSDARG00000104643	ENSG00000198033	TUBA3C
ENSDARG00000104643	ENSG00000075886	TUBA3D
ENSDARG00000101449	ENSG00000105737	GRIK5
ENSDARG00000040815	ENSG00000182704	TSKU
ENSDARG00000019932	ENSG00000158865	SLC5A11
ENSDARG00000059254	ENSG00000152672	CLEC4F
ENSDARG00000105185	ENSG00000162627	SNX7
ENSDARG00000016789		
ENSDARG00000101348	ENSG00000117598	PLPPR5
ENSDARG00000099927	ENSG00000011332	DPF1
ENSDARG00000053301	ENSG00000173404	INSM1
ENSDARG00000056984	ENSG00000172613	RAD9A
ENSDARG00000100259		
ENSDARG00000029718	ENSG00000109991	P2RX3
ENSDARG00000042698	ENSG00000110400	NECTIN1
ENSDARG00000069334	ENSG00000106351	AGFG2
ENSDARG00000079907		
ENSDARG00000009267		
ENSDARG00000056206	ENSG00000148660	CAMK2G
ENSDARG00000040290	ENSG00000105854	PON2
ENSDARG00000040290	ENSG00000105852	PON3
ENSDARG00000040290	ENSG00000005421	PON1
ENSDARG00000056151	ENSG00000107165	TYRP1
ENSDARG00000017266	ENSG00000146285	SCML4
ENSDARG00000071223		
ENSDARG00000068939	ENSG00000132530	XAF1
ENSDARG00000077078		
ENSDARG00000078997	ENSG00000163673	DCLK3
ENSDARG00000016181	ENSG00000197323	TRIM33
ENSDARG00000057317	ENSG00000162614	NEXN
ENSDARG00000074084	ENSG00000143093	STRIP1
ENSDARG00000026540		
ENSDARG00000058740		
ENSDARG00000089569	ENSG00000152229	PSTPIP2
ENSDARG00000078387		
ENSDARG00000093431	ENSG00000173226	IQCB1
ENSDARG00000104618	ENSG00000166923	GREM1
ENSDARG00000090160		
ENSDARG00000058728	ENSG00000164978	NUDT2
ENSDARG00000077492	ENSG00000132932	ATP8A2
ENSDARG00000088745	ENSG00000166482	MFAP4
ENSDARG00000073874		
ENSDARG00000003607	ENSG00000160113	NR2F6
ENSDARG00000017809	ENSG00000131748	STARD3
ENSDARG00000022203	ENSG00000006704	GTF2IRD1
ENSDARG00000014956	ENSG00000184047	DIABLO
ENSDARG00000018048		
ENSDARG00000042387	ENSG00000158079	PTPDC1
ENSDARG00000105751		
ENSDARG00000103154		
ENSDARG00000055076	ENSG00000147206	NXF3
ENSDARG00000055076	ENSG00000269405	NXF2
ENSDARG00000055076	ENSG00000162231	NXF1
ENSDARG00000055076	ENSG00000269437	NXF2B
ENSDARG00000068125		
ENSDARG00000096797		
ENSDARG00000021509	ENSG00000055208	TAB2
ENSDARG00000063555	ENSG00000103495	MAZ
ENSDARG00000075714		
ENSDARG00000093254		
ENSDARG00000071217	ENSG00000185352	HS6ST3
ENSDARG00000028192	ENSG00000169372	CRADD
ENSDARG00000063149	ENSG00000133687	TMTC1
ENSDARG00000087181	ENSG00000100307	CBX7
ENSDARG00000096701		
ENSDARG00000023082		
ENSDARG00000060532	ENSG00000008277	ADAM22
ENSDARG00000091471	ENSG00000203734	ECT2L
ENSDARG00000060796	ENSG00000168575	SLC20A2
ENSDARG00000023362	ENSG00000136931	NR5A1
ENSDARG00000090348		
ENSDARG00000019033	ENSG00000116209	TMEM59
ENSDARG00000006062	ENSG00000121057	AKAP1
ENSDARG00000102017	ENSG00000133107	TRPC4
ENSDARG00000043884	ENSG00000120253	NUP43
ENSDARG00000054980	ENSG00000117395	EBNA1BP2
ENSDARG00000052866	ENSG00000197386	HTT
ENSDARG00000002748	ENSG00000143434	SEMA6C
ENSDARG00000097042		
ENSDARG00000056649	ENSG00000102241	HTATSF1
ENSDARG00000042133		
ENSDARG00000015392	ENSG00000109606	DHX15
ENSDARG00000056819		
ENSDARG00000022187	ENSG00000148429	USP6NL
ENSDARG00000074796	ENSG00000006634	DBF4
ENSDARG00000008890	ENSG00000040531	CTNS
ENSDARG00000075147	ENSG00000162494	LRRC38
ENSDARG00000036755	ENSG00000164169	PRMT9
ENSDARG00000076176	ENSG00000106246	PTCD1
ENSDARG00000006848	ENSG00000138496	PARP9
ENSDARG00000079119		
ENSDARG00000053129		
ENSDARG00000044754	ENSG00000125787	GNRH2
ENSDARG00000062042	ENSG00000103248	MTHFSD
ENSDARG00000060626	ENSG00000065357	DGKA
ENSDARG00000015399	ENSG00000103241	FOXF1
ENSDARG00000075727	ENSG00000197769	MAP1LC3C
ENSDARG00000075727	ENSG00000139112	GABARAPL1
ENSDARG00000053405	ENSG00000140263	SORD
ENSDARG00000035562	ENSG00000129255	MPDU1
ENSDARG00000099946	ENSG00000135063	ENTREP1
ENSDARG00000057719	ENSG00000119787	ATL2
ENSDARG00000097934		
ENSDARG00000054929		
ENSDARG00000009250	ENSG00000105379	ETFB
ENSDARG00000062846	ENSG00000139324	TMTC3
ENSDARG00000062402		
ENSDARG00000027041	ENSG00000118946	PCDH17
ENSDARG00000003203	ENSG00000140519	RHCG
ENSDARG00000100948		
ENSDARG00000105362	ENSG00000135472	FAIM2
ENSDARG00000040700	ENSG00000138386	NAB1
ENSDARG00000115054		
ENSDARG00000105498		
ENSDARG00000104453	ENSG00000037280	FLT4
ENSDARG00000034076	ENSG00000166145	SPINT1
ENSDARG00000034076	ENSG00000158901	WFDC8
ENSDARG00000034076	ENSG00000120256	LRP11
ENSDARG00000034076	ENSG00000149651	SPINT4
ENSDARG00000034076	ENSG00000101448	EPPIN
ENSDARG00000034076	ENSG00000243543	WFDC6
ENSDARG00000015856		
ENSDARG00000026682		
