Gene stable ID	Gene name	Transcript stable ID	RefSeq mRNA predicted ID	Protein stable ID
ENSDARG00000087555	tcof1	ENSDART00000161487	XM_021481078	ENSDARP00000130951
ENSDARG00000069339	tbc1d24	ENSDART00000193466	XM_021470409	ENSDARP00000152814
ENSDARG00000003789	dennd5b	ENSDART00000140510	XM_009300252	ENSDARP00000119547
ENSDARG00000012777	nucks1b	ENSDART00000016976	XM_005162072	ENSDARP00000018018
ENSDARG00000074772	ccl44	ENSDART00000109972	XM_009305799	ENSDARP00000101027
ENSDARG00000017220	otud7b	ENSDART00000041811	XM_005158387	ENSDARP00000041810
ENSDARG00000017220	otud7b	ENSDART00000041811	XM_021466757	ENSDARP00000041810
ENSDARG00000017220	otud7b	ENSDART00000041811	XM_005158389	ENSDARP00000041810
ENSDARG00000017220	otud7b	ENSDART00000041811	XM_005158386	ENSDARP00000041810
ENSDARG00000075249	fam171a2a	ENSDART00000114906	XM_679189	ENSDARP00000098040
ENSDARG00000071107	wnt7bb	ENSDART00000156925	XM_001920184	ENSDARP00000128646
ENSDARG00000071107	wnt7bb	ENSDART00000104915	XM_017354279	ENSDARP00000095685
ENSDARG00000094894	tyrobp	ENSDART00000141956	XM_009292219	ENSDARP00000117884
ENSDARG00000087555	tcof1	ENSDART00000127317	XM_002664257	ENSDARP00000106768
ENSDARG00000023443	tjp2b	ENSDART00000136184	XM_009303787	ENSDARP00000112709
ENSDARG00000005754	ptprfb	ENSDART00000083314	XM_021481443	ENSDARP00000077749
ENSDARG00000055159	cyp27a1.4	ENSDART00000077479	XM_009304859	ENSDARP00000071946
ENSDARG00000059483	TEAD1	ENSDART00000150143	XM_009303582	ENSDARP00000125040
ENSDARG00000059483	TEAD1	ENSDART00000150143	XM_021478025	ENSDARP00000125040
ENSDARG00000059483	TEAD1	ENSDART00000150143	XM_009303586	ENSDARP00000125040
ENSDARG00000059483	TEAD1	ENSDART00000150143	XM_009303589	ENSDARP00000125040
ENSDARG00000059483	TEAD1	ENSDART00000150143	XM_009303585	ENSDARP00000125040
ENSDARG00000059483	TEAD1	ENSDART00000150143	XM_021478027	ENSDARP00000125040
ENSDARG00000059483	TEAD1	ENSDART00000150143	XM_009303583	ENSDARP00000125040
ENSDARG00000059483	TEAD1	ENSDART00000150143	XM_021478026	ENSDARP00000125040
ENSDARG00000059483	TEAD1	ENSDART00000150143	XM_009303588	ENSDARP00000125040
ENSDARG00000059483	TEAD1	ENSDART00000150143	XM_009303584	ENSDARP00000125040
ENSDARG00000059483	TEAD1	ENSDART00000150143	XM_009303581	ENSDARP00000125040
ENSDARG00000013491	MAP3K9	ENSDART00000146522	XM_684036	ENSDARP00000114579
ENSDARG00000003789	dennd5b	ENSDART00000079461	XM_005164711	ENSDARP00000073917
ENSDARG00000003789	dennd5b	ENSDART00000079461	XM_005164712	ENSDARP00000073917
ENSDARG00000052019		ENSDART00000148932	XM_021476923	ENSDARP00000124906
ENSDARG00000115763		ENSDART00000057845	XM_001332608	ENSDARP00000057844
ENSDARG00000101569		ENSDART00000170871	XM_009291061	ENSDARP00000132754
ENSDARG00000029463	asap1a	ENSDART00000169316	XM_005163477	ENSDARP00000136448
ENSDARG00000029463	asap1a	ENSDART00000169316	XM_005163474	ENSDARP00000136448
ENSDARG00000029463	asap1a	ENSDART00000169316	XM_005163475	ENSDARP00000136448
ENSDARG00000029463	asap1a	ENSDART00000169316	XM_005163478	ENSDARP00000136448
ENSDARG00000111806		ENSDART00000155531	XM_017351722	ENSDARP00000128739
ENSDARG00000051914	slc14a2	ENSDART00000162256	XM_021476011	ENSDARP00000135209
ENSDARG00000007127	acat2	ENSDART00000006778	XM_021468355	ENSDARP00000018064
ENSDARG00000004697	rxrgb	ENSDART00000170930	XM_005160666	ENSDARP00000138967
ENSDARG00000087461	si:dkey-21c1.4	ENSDART00000130366	XM_021480387	ENSDARP00000110900
ENSDARG00000087461	si:dkey-21c1.4	ENSDART00000130366	XM_021480389	ENSDARP00000110900
ENSDARG00000087461	si:dkey-21c1.4	ENSDART00000130366	XM_021480388	ENSDARP00000110900
ENSDARG00000087461	si:dkey-21c1.4	ENSDART00000130366	XM_001919662	ENSDARP00000110900
ENSDARG00000087461	si:dkey-21c1.4	ENSDART00000130366	XM_017358556	ENSDARP00000110900
ENSDARG00000005754	ptprfb	ENSDART00000184039	XM_021481419	ENSDARP00000151637
ENSDARG00000005754	ptprfb	ENSDART00000184039	XM_009298458	ENSDARP00000151637
ENSDARG00000005754	ptprfb	ENSDART00000184039	XM_009298461	ENSDARP00000151637
ENSDARG00000005754	ptprfb	ENSDART00000184039	XM_009298460	ENSDARP00000151637
ENSDARG00000005754	ptprfb	ENSDART00000184039	XM_009298457	ENSDARP00000151637
ENSDARG00000005754	ptprfb	ENSDART00000184039	XM_009298466	ENSDARP00000151637
ENSDARG00000005754	ptprfb	ENSDART00000184039	XM_009298464	ENSDARP00000151637
ENSDARG00000005754	ptprfb	ENSDART00000184039	XM_009298462	ENSDARP00000151637
ENSDARG00000005754	ptprfb	ENSDART00000184039	XM_021481438	ENSDARP00000151637
ENSDARG00000109993	pimr120	ENSDART00000180068	XM_021481292	ENSDARP00000144908
ENSDARG00000109993	pimr120	ENSDART00000180068	XM_017359069	ENSDARP00000144908
ENSDARG00000021494	hnf4a	ENSDART00000145426	XM_009296811	ENSDARP00000112924
ENSDARG00000021494	hnf4a	ENSDART00000145426	XM_021469747	ENSDARP00000112924
ENSDARG00000021494	hnf4a	ENSDART00000145426	XM_021469748	ENSDARP00000112924
ENSDARG00000021494	hnf4a	ENSDART00000145426	XM_021469746	ENSDARP00000112924
ENSDARG00000021494	hnf4a	ENSDART00000145426	XM_021469749	ENSDARP00000112924
ENSDARG00000089477	si:ch211-132g1.3	ENSDART00000131675	XM_021475931	ENSDARP00000127057
ENSDARG00000027172		ENSDART00000133646	XM_005156930	ENSDARP00000113925
ENSDARG00000027172		ENSDART00000133646	XM_005156929	ENSDARP00000113925
ENSDARG00000027172		ENSDART00000133646	XM_693577	ENSDARP00000113925
ENSDARG00000005754	ptprfb	ENSDART00000191872	XM_009298469	ENSDARP00000155871
ENSDARG00000005754	ptprfb	ENSDART00000191872	XM_021481440	ENSDARP00000155871
ENSDARG00000061764	ahnak	ENSDART00000088484	XM_005173183	ENSDARP00000082917
ENSDARG00000061764	ahnak	ENSDART00000088484	XM_017359122	ENSDARP00000082917
ENSDARG00000061764	ahnak	ENSDART00000088484	XM_005173184	ENSDARP00000082917
ENSDARG00000061764	ahnak	ENSDART00000088484	XM_021481163	ENSDARP00000082917
ENSDARG00000061764	ahnak	ENSDART00000088484	XM_009291066	ENSDARP00000082917
ENSDARG00000061764	ahnak	ENSDART00000088484	XM_005173182	ENSDARP00000082917
ENSDARG00000061764	ahnak	ENSDART00000088484	XM_005173188	ENSDARP00000082917
ENSDARG00000061764	ahnak	ENSDART00000088484	XM_021481164	ENSDARP00000082917
ENSDARG00000005754	ptprfb	ENSDART00000179791	XM_009298467	ENSDARP00000156606
ENSDARG00000005754	ptprfb	ENSDART00000179791	XM_009298463	ENSDARP00000156606
ENSDARG00000089477	si:ch211-132g1.3	ENSDART00000165669	XM_009305481	ENSDARP00000136663
ENSDARG00000010096	slc1a6	ENSDART00000178367	XM_009305801	ENSDARP00000143703
ENSDARG00000074156	sgca	ENSDART00000149427	XM_680178	ENSDARP00000123911
ENSDARG00000005754	ptprfb	ENSDART00000190089	XM_021481441	ENSDARP00000156870
ENSDARG00000005754	ptprfb	ENSDART00000190089	XM_021481437	ENSDARP00000156870
ENSDARG00000005754	ptprfb	ENSDART00000190089	XM_009298459	ENSDARP00000156870
ENSDARG00000005754	ptprfb	ENSDART00000190089	XM_009298468	ENSDARP00000156870
ENSDARG00000005754	ptprfb	ENSDART00000190089	XM_021481410	ENSDARP00000156870
ENSDARG00000059365	nipal4	ENSDART00000139320	XM_021468809	ENSDARP00000123389
ENSDARG00000031954	rbck1	ENSDART00000047444	XM_021469313	ENSDARP00000047443
ENSDARG00000031954	rbck1	ENSDART00000047444	XM_017353112	ENSDARP00000047443
ENSDARG00000031954	rbck1	ENSDART00000047444	XM_021469314	ENSDARP00000047443
ENSDARG00000031954	rbck1	ENSDART00000047444	XM_021469312	ENSDARP00000047443
ENSDARG00000100780	slco1e1	ENSDART00000163149	XM_009301101	ENSDARP00000131640
ENSDARG00000100780	slco1e1	ENSDART00000163149	XM_009301102	ENSDARP00000131640
ENSDARG00000038855	chmp5a	ENSDART00000132645	XM_681842	ENSDARP00000115597
ENSDARG00000014556	serpinb1l3	ENSDART00000010658	XM_005174205	ENSDARP00000027639
ENSDARG00000088411	notum2	ENSDART00000151102	XM_689308	ENSDARP00000125786
ENSDARG00000101411		ENSDART00000159893	XM_017354877	ENSDARP00000140561
ENSDARG00000040133	ackr4b	ENSDART00000058703	XM_005162609	ENSDARP00000058702
ENSDARG00000025212	ints11	ENSDART00000031016	XM_005166209	ENSDARP00000032843
ENSDARG00000056024	eva1c	ENSDART00000108658	XM_017358065	ENSDARP00000104027
ENSDARG00000056024	eva1c	ENSDART00000108658	XM_009305504	ENSDARP00000104027
ENSDARG00000056024	eva1c	ENSDART00000108658	XM_009305503	ENSDARP00000104027
ENSDARG00000043141	si:ch211-132f19.7	ENSDART00000156229	XM_683811	ENSDARP00000129650
ENSDARG00000104129	si:dkey-23n7.10	ENSDART00000157416	XM_002662848	ENSDARP00000131171
ENSDARG00000115890		ENSDART00000170471	XM_009295810	ENSDARP00000136396
ENSDARG00000102472	btbd17b	ENSDART00000188607	XM_021473153	ENSDARP00000154438
ENSDARG00000102472	btbd17b	ENSDART00000188607	XM_017354735	ENSDARP00000154438
ENSDARG00000102472	btbd17b	ENSDART00000188607	XM_017354734	ENSDARP00000154438
ENSDARG00000079586	gabrb2a	ENSDART00000148259	XM_005173103	ENSDARP00000114799
ENSDARG00000069276	pimr132	ENSDART00000170679	XM_021468454	ENSDARP00000137231
ENSDARG00000042147	rbbp5	ENSDART00000061775	XM_005168268	ENSDARP00000061774
ENSDARG00000086261	fhdc4	ENSDART00000154457	XM_689466	ENSDARP00000129791
ENSDARG00000019842	cnot3b	ENSDART00000136697	XM_009294029	ENSDARP00000121075
ENSDARG00000019842	cnot3b	ENSDART00000136697	XM_017352187	ENSDARP00000121075
ENSDARG00000041685		ENSDART00000155787	XM_001345402	ENSDARP00000127672
ENSDARG00000058692	fzd3b	ENSDART00000121488	XM_005158594	ENSDARP00000108442
ENSDARG00000059817	mtmr12	ENSDART00000083561	XM_009301662	ENSDARP00000077996
ENSDARG00000074150		ENSDART00000153223	XM_021480190	ENSDARP00000127444
ENSDARG00000011449	fes	ENSDART00000149938	XM_005166381	ENSDARP00000124270
ENSDARG00000011449	fes	ENSDART00000149938	XM_005166383	ENSDARP00000124270
ENSDARG00000100481	smg6	ENSDART00000158537	XM_005172741	ENSDARP00000140752
ENSDARG00000052782	glrba	ENSDART00000102790	XM_017355860	ENSDARP00000093565
ENSDARG00000059327	gata2a	ENSDART00000082420	XM_021479548	ENSDARP00000076855
ENSDARG00000059327	gata2a	ENSDART00000082420	XM_009305782	ENSDARP00000076855
ENSDARG00000059327	gata2a	ENSDART00000082420	XM_009305781	ENSDARP00000076855
ENSDARG00000076297	nfatc3a	ENSDART00000073397	XM_021477916	ENSDARP00000067888
ENSDARG00000104823	znf648	ENSDART00000163188	XM_021477103	ENSDARP00000132889
ENSDARG00000104823	znf648	ENSDART00000163188	XM_021477101	ENSDARP00000132889
ENSDARG00000104823	znf648	ENSDART00000163188	XM_021477102	ENSDARP00000132889
ENSDARG00000042510	acot20	ENSDART00000062338	XM_691619	ENSDARP00000062337
ENSDARG00000095024		ENSDART00000147966	XM_021468367	ENSDARP00000118612
ENSDARG00000095024		ENSDART00000147966	XM_021468368	ENSDARP00000118612
ENSDARG00000060297	arhgap35b	ENSDART00000084819	XM_021476554	ENSDARP00000079254
ENSDARG00000060297	arhgap35b	ENSDART00000084819	XM_021476553	ENSDARP00000079254
ENSDARG00000013526	svep1	ENSDART00000173642	XM_690650	ENSDARP00000142845
ENSDARG00000013526	svep1	ENSDART00000173642	XM_009303134	ENSDARP00000142845
ENSDARG00000013526	svep1	ENSDART00000173642	XM_021477790	ENSDARP00000142845
ENSDARG00000013526	svep1	ENSDART00000173642	XM_021477789	ENSDARP00000142845
ENSDARG00000013526	svep1	ENSDART00000173642	XM_009303136	ENSDARP00000142845
ENSDARG00000058885	ttc29	ENSDART00000081826	XM_017351381	ENSDARP00000076265
ENSDARG00000076239	ADISSP	ENSDART00000111002	XM_684341	ENSDARP00000100238
ENSDARG00000075299	PRXL2C	ENSDART00000169095	XM_009303702	ENSDARP00000131137
ENSDARG00000061169	larp1b	ENSDART00000025096	XM_691468	ENSDARP00000007794
ENSDARG00000061169	larp1b	ENSDART00000025096	XM_009293108	ENSDARP00000007794
ENSDARG00000061169	larp1b	ENSDART00000025096	XM_005158557	ENSDARP00000007794
ENSDARG00000023999	heatr5a	ENSDART00000032975	XM_009293123	ENSDARP00000030254
ENSDARG00000100047	ergic1	ENSDART00000158998	XM_005157202	ENSDARP00000139851
ENSDARG00000100047	ergic1	ENSDART00000158998	XM_009307800	ENSDARP00000139851
ENSDARG00000099084	pcif1	ENSDART00000172081	XM_683128	ENSDARP00000135280
ENSDARG00000028542	si:ch211-114c12.2	ENSDART00000029719	XM_021476016	ENSDARP00000032320
ENSDARG00000023999	heatr5a	ENSDART00000122260	XM_009293122	ENSDARP00000107674
ENSDARG00000023999	heatr5a	ENSDART00000122260	XM_009293121	ENSDARP00000107674
ENSDARG00000059483	TEAD1	ENSDART00000178627	XM_021478024	ENSDARP00000154949
ENSDARG00000059483	TEAD1	ENSDART00000178627	XM_009303587	ENSDARP00000154949
ENSDARG00000037091	asah1a	ENSDART00000017122	XM_009291111	ENSDARP00000007893
ENSDARG00000073713	NTNG1	ENSDART00000190795	XM_009298418	ENSDARP00000148340
ENSDARG00000073713	NTNG1	ENSDART00000176628	XM_682846	ENSDARP00000144416
ENSDARG00000042332	plin2	ENSDART00000129407	XM_021466286	ENSDARP00000110556
ENSDARG00000038941	ppp1r1c	ENSDART00000149726	XM_005167887	ENSDARP00000124964
ENSDARG00000094146		ENSDART00000145199	XM_017352735	ENSDARP00000127171
ENSDARG00000075299	PRXL2C	ENSDART00000112130	XM_009303701	ENSDARP00000104126
ENSDARG00000075299	PRXL2C	ENSDART00000112130	XM_009303700	ENSDARP00000104126
ENSDARG00000075299	PRXL2C	ENSDART00000112130	XM_021478348	ENSDARP00000104126
ENSDARG00000029370	ankrd6b	ENSDART00000140650	XM_021468372	ENSDARP00000118157
ENSDARG00000099554	sec16b	ENSDART00000160547	XM_009302376	ENSDARP00000135911
ENSDARG00000099554	sec16b	ENSDART00000160547	XM_679937	ENSDARP00000135911
ENSDARG00000076659	cdca7b	ENSDART00000113829	XM_002665462	ENSDARP00000100481
ENSDARG00000062900	rnf115b	ENSDART00000091443	XM_009294070	ENSDARP00000085876
ENSDARG00000062900	rnf115b	ENSDART00000091443	XM_021468276	ENSDARP00000085876
ENSDARG00000062900	rnf115b	ENSDART00000091443	XM_003200546	ENSDARP00000085876
ENSDARG00000056027	hoxb8a	ENSDART00000046638	XM_005171563	ENSDARP00000046637
ENSDARG00000105380	fgl1	ENSDART00000172794	XM_021481189	ENSDARP00000142264
ENSDARG00000059811	smpd5	ENSDART00000124691	XM_005158453	ENSDARP00000104571
ENSDARG00000059811	smpd5	ENSDART00000124691	XM_005158452	ENSDARP00000104571
ENSDARG00000078167	si:dkeyp-100h4.1	ENSDART00000183998	XM_017355527	ENSDARP00000152367
ENSDARG00000037527		ENSDART00000054651	XM_687605	ENSDARP00000054650
ENSDARG00000006112	myof	ENSDART00000144283	XM_009306492	ENSDARP00000117746
ENSDARG00000004866	mindy1	ENSDART00000136502	XM_005159451	ENSDARP00000117536
ENSDARG00000046081	bloc1s2	ENSDART00000144551	XM_009294564	ENSDARP00000121837
ENSDARG00000091888		ENSDART00000140032	XM_701295	ENSDARP00000115418
ENSDARG00000079823	kgd4	ENSDART00000143920	XM_021478290	ENSDARP00000121509
ENSDARG00000102379	sesn4	ENSDART00000161540	XM_009291172	ENSDARP00000131357
ENSDARG00000102969	pimr119	ENSDART00000171388	XM_021481293	ENSDARP00000140595
ENSDARG00000011845	chn2	ENSDART00000014769	XM_694550	ENSDARP00000027417
ENSDARG00000089109	bcl2b	ENSDART00000149947	XM_001341178	ENSDARP00000124838
ENSDARG00000030104	sh3bp4	ENSDART00000101685	XM_005167582	ENSDARP00000092459
ENSDARG00000030104	sh3bp4	ENSDART00000101685	XM_005167581	ENSDARP00000092459
ENSDARG00000030104	sh3bp4	ENSDART00000101685	XM_021478749	ENSDARP00000092459
ENSDARG00000030104	sh3bp4	ENSDART00000101685	XM_005167580	ENSDARP00000092459
ENSDARG00000035148	orai2	ENSDART00000131937	XM_005165570	ENSDARP00000121457
ENSDARG00000025912	bscl2l	ENSDART00000157730	XM_005173086	ENSDARP00000138473
ENSDARG00000020204	nf2a	ENSDART00000180681	XM_005165048	ENSDARP00000153730
ENSDARG00000062820	irgf3	ENSDART00000091237	XM_001338161	ENSDARP00000085670
ENSDARG00000052118	adamtsl5	ENSDART00000073910	XM_005166491	ENSDARP00000068400
ENSDARG00000013221		ENSDART00000141030	XM_009298552	ENSDARP00000122498
ENSDARG00000013221		ENSDART00000141030	XM_021467291	ENSDARP00000122498
ENSDARG00000013221		ENSDART00000141030	XM_021467294	ENSDARP00000122498
ENSDARG00000060805	map1sa	ENSDART00000170256	XM_686182	ENSDARP00000137630
ENSDARG00000025912	bscl2l	ENSDART00000128638	XM_005173085	ENSDARP00000106813
ENSDARG00000004931	slc8a3	ENSDART00000100204	XM_009307477	ENSDARP00000090977
ENSDARG00000004931	slc8a3	ENSDART00000100204	XM_005156998	ENSDARP00000090977
ENSDARG00000004931	slc8a3	ENSDART00000100204	XM_005156997	ENSDARP00000090977
ENSDARG00000004931	slc8a3	ENSDART00000100204	XM_005156999	ENSDARP00000090977
ENSDARG00000097473	sertad3	ENSDART00000113545	XM_021467645	ENSDARP00000103803
ENSDARG00000017537		ENSDART00000024358	XM_687502	ENSDARP00000008617
ENSDARG00000017537		ENSDART00000024358	XM_005160292	ENSDARP00000008617
ENSDARG00000017537		ENSDART00000024358	XM_005160293	ENSDARP00000008617
ENSDARG00000102572	si:ch211-260e23.9	ENSDART00000159700	XM_021477947	ENSDARP00000136464
ENSDARG00000013221		ENSDART00000002096	XM_021467287	ENSDARP00000012865
ENSDARG00000013221		ENSDART00000002096	XM_005163374	ENSDARP00000012865
ENSDARG00000104108	slco1d1	ENSDART00000158683	XM_021474933	ENSDARP00000139849
ENSDARG00000042513		ENSDART00000062342	XM_685444	ENSDARP00000062341
ENSDARG00000044815	serinc4	ENSDART00000098815	XM_005166490	ENSDARP00000089585
ENSDARG00000044815	serinc4	ENSDART00000098815	XM_693550	ENSDARP00000089585
ENSDARG00000018351	hpda	ENSDART00000020472	XM_005171729	ENSDARP00000016115
ENSDARG00000076969		ENSDART00000126740	XM_683823	ENSDARP00000112481
ENSDARG00000042555	DYM	ENSDART00000062418	XM_017353033	ENSDARP00000062417
ENSDARG00000090981	C14HXorf65	ENSDART00000129989	XM_701464	ENSDARP00000105287
ENSDARG00000043757	ptbp3	ENSDART00000146727	XM_009305171	ENSDARP00000118637
ENSDARG00000036995	lsm6	ENSDART00000147458	XM_005159968	ENSDARP00000119629
ENSDARG00000013415	lmna	ENSDART00000145087	XM_005158167	ENSDARP00000113049
ENSDARG00000043757	ptbp3	ENSDART00000040308	XM_009305172	ENSDARP00000040307
ENSDARG00000094226		ENSDART00000153251	XM_021468699	ENSDARP00000127384
ENSDARG00000093978	zgc:77486	ENSDART00000137994	XM_005166804	ENSDARP00000114329
ENSDARG00000093978	zgc:77486	ENSDART00000137994	XM_005166805	ENSDARP00000114329
ENSDARG00000093978	zgc:77486	ENSDART00000137994	XM_005166806	ENSDARP00000114329
ENSDARG00000093978	zgc:77486	ENSDART00000137994	XM_021478225	ENSDARP00000114329
ENSDARG00000058958	si:ch73-106l15.3	ENSDART00000081894	XM_005163703	ENSDARP00000076333
ENSDARG00000013415	lmna	ENSDART00000191040	XM_005158168	ENSDARP00000145959
ENSDARG00000019293	tfdp1a	ENSDART00000077800	XM_009304816	ENSDARP00000072266
ENSDARG00000019293	tfdp1a	ENSDART00000077800	XM_005167824	ENSDARP00000072266
ENSDARG00000003127	zgc:123105	ENSDART00000133099	XM_005161396	ENSDARP00000120691
ENSDARG00000056279	ccdc157	ENSDART00000078746	XM_002663174	ENSDARP00000073207
ENSDARG00000004452	tardbpa	ENSDART00000139223	XM_021469761	ENSDARP00000128116
ENSDARG00000004561		ENSDART00000142610	XM_001921680	ENSDARP00000123279
ENSDARG00000045443	agtr1b	ENSDART00000149911	XM_005162528	ENSDARP00000124668
ENSDARG00000060236	DOK7	ENSDART00000135369	XM_021476872	ENSDARP00000122990
ENSDARG00000060236	DOK7	ENSDART00000135369	XM_681035	ENSDARP00000122990
ENSDARG00000026180	prpf8	ENSDART00000134601	XM_005157646	ENSDARP00000121091
ENSDARG00000016089	bicral	ENSDART00000027379	XM_682390	ENSDARP00000007564
ENSDARG00000016089	bicral	ENSDART00000027379	XM_005156379	ENSDARP00000007564
ENSDARG00000005179	dglucy	ENSDART00000168182	XM_001923855	ENSDARP00000138808
ENSDARG00000062968	sbf1	ENSDART00000091599	XM_009300171	ENSDARP00000086032
ENSDARG00000062968	sbf1	ENSDART00000091599	XM_009300173	ENSDARP00000086032
ENSDARG00000062968	sbf1	ENSDART00000091599	XM_005164591	ENSDARP00000086032
ENSDARG00000004452	tardbpa	ENSDART00000189242	XM_021469762	ENSDARP00000144841
ENSDARG00000079705	si:ch211-152p11.4	ENSDART00000136414	XM_021468149	ENSDARP00000123121
ENSDARG00000057887	NTS	ENSDART00000142353	XM_017352078	ENSDARP00000112543
ENSDARG00000079705	si:ch211-152p11.4	ENSDART00000114301	XM_697904	ENSDARP00000102625
ENSDARG00000045956	kcnk10b	ENSDART00000067542	XM_005169783	ENSDARP00000067541
ENSDARG00000022334	si:ch211-156l18.7	ENSDART00000125446	XM_678850	ENSDARP00000108614
ENSDARG00000022334	si:ch211-156l18.7	ENSDART00000125446	XM_021474232	ENSDARP00000108614
ENSDARG00000022334	si:ch211-156l18.7	ENSDART00000125446	XM_021472425	ENSDARP00000108614
ENSDARG00000058701	nos1apb	ENSDART00000153289	XM_021466758	ENSDARP00000127276
ENSDARG00000058701	nos1apb	ENSDART00000153289	XM_021466756	ENSDARP00000127276
ENSDARG00000058701	nos1apb	ENSDART00000153289	XM_002660712	ENSDARP00000127276
ENSDARG00000086458	hdac10	ENSDART00000127600	XM_021470455	ENSDARP00000109870
ENSDARG00000062968	sbf1	ENSDART00000159762	XM_005164590	ENSDARP00000132256
ENSDARG00000062968	sbf1	ENSDART00000159762	XM_009300170	ENSDARP00000132256
ENSDARG00000062968	sbf1	ENSDART00000159762	XM_009300172	ENSDARP00000132256
ENSDARG00000045956	kcnk10b	ENSDART00000178759	XM_017351661	ENSDARP00000143418
ENSDARG00000098578	pdgfab	ENSDART00000158747	XM_005163736	ENSDARP00000140240
ENSDARG00000101106	si:ch73-109d9.3	ENSDART00000160276	XM_005160085	ENSDARP00000136614
ENSDARG00000073704	si:dkeyp-72g9.4	ENSDART00000114359	XM_017352953	ENSDARP00000099389
ENSDARG00000004176	ulk4	ENSDART00000060519	XM_009292054	ENSDARP00000060518
ENSDARG00000055437	mettl21cb	ENSDART00000127295	XM_021478585	ENSDARP00000107813
ENSDARG00000055437	mettl21cb	ENSDART00000077790	XM_021478586	ENSDARP00000072256
ENSDARG00000055722	bco2a	ENSDART00000133981	XM_002662014	ENSDARP00000113898
ENSDARG00000087375	zgc:66473	ENSDART00000129312	XM_017356818	ENSDARP00000107180
ENSDARG00000040982	fgf14	ENSDART00000060051	XM_021478646	ENSDARP00000060050
ENSDARG00000040982	fgf14	ENSDART00000060051	XM_005167695	ENSDARP00000060050
ENSDARG00000040982	fgf14	ENSDART00000060051	XM_009304735	ENSDARP00000060050
ENSDARG00000040982	fgf14	ENSDART00000060051	XM_021478647	ENSDARP00000060050
ENSDARG00000024314	herpud1	ENSDART00000151934	XM_005159121	ENSDARP00000126535
ENSDARG00000076414	espn	ENSDART00000146631	XM_009304256	ENSDARP00000123042
ENSDARG00000076414	espn	ENSDART00000146631	XM_009304257	ENSDARP00000123042
ENSDARG00000076414	espn	ENSDART00000146631	XM_009304253	ENSDARP00000123042
ENSDARG00000076414	espn	ENSDART00000146631	XM_009304254	ENSDARP00000123042
ENSDARG00000076414	espn	ENSDART00000146631	XM_009304255	ENSDARP00000123042
ENSDARG00000076414	espn	ENSDART00000146631	XM_009304258	ENSDARP00000123042
ENSDARG00000076229	mrtfab	ENSDART00000152935	XM_021480117	ENSDARP00000127385
ENSDARG00000076229	mrtfab	ENSDART00000152935	XM_021480118	ENSDARP00000127385
ENSDARG00000076229	mrtfab	ENSDART00000152935	XM_021480121	ENSDARP00000127385
ENSDARG00000076229	mrtfab	ENSDART00000152935	XM_021480119	ENSDARP00000127385
ENSDARG00000076229	mrtfab	ENSDART00000152935	XM_021480120	ENSDARP00000127385
ENSDARG00000076229	mrtfab	ENSDART00000152935	XM_021480116	ENSDARP00000127385
ENSDARG00000076229	mrtfab	ENSDART00000152935	XM_005156147	ENSDARP00000127385
ENSDARG00000092696	CYP11A1	ENSDART00000138887	XM_686725	ENSDARP00000116539
ENSDARG00000074894	myorg	ENSDART00000133517	XM_003200831	ENSDARP00000116608
ENSDARG00000096765		ENSDART00000152939	XM_021468700	ENSDARP00000127195
ENSDARG00000099183	fkbp10a	ENSDART00000160992	XM_009294177	ENSDARP00000131857
ENSDARG00000099183	fkbp10a	ENSDART00000160992	XM_021468303	ENSDARP00000131857
ENSDARG00000099183	fkbp10a	ENSDART00000160992	XM_005159527	ENSDARP00000131857
ENSDARG00000099183	fkbp10a	ENSDART00000160992	XM_005159528	ENSDARP00000131857
ENSDARG00000070981	ash1l	ENSDART00000052915	XM_005159483	ENSDARP00000052914
ENSDARG00000070981	ash1l	ENSDART00000052915	XM_005159484	ENSDARP00000052914
ENSDARG00000018206	nck2a	ENSDART00000102672	XM_009304471	ENSDARP00000093447
ENSDARG00000018206	nck2a	ENSDART00000102672	XM_021478633	ENSDARP00000093447
ENSDARG00000109626		ENSDART00000153138	XM_021480431	ENSDARP00000127413
ENSDARG00000017665	snrkb	ENSDART00000015710	XM_005174310	ENSDARP00000025934
ENSDARG00000012274	eif4e1c	ENSDART00000132073	XM_005156639	ENSDARP00000119224
ENSDARG00000024314	herpud1	ENSDART00000175258	XM_005159120	ENSDARP00000144135
ENSDARG00000093240	gmeb2	ENSDART00000131235	XM_009297110	ENSDARP00000116102
ENSDARG00000099339	pacsin3	ENSDART00000165201	XM_021477440	ENSDARP00000131278
ENSDARG00000099339	pacsin3	ENSDART00000158518	XM_009303470	ENSDARP00000138125
ENSDARG00000099339	pacsin3	ENSDART00000158518	XM_005166595	ENSDARP00000138125
ENSDARG00000099339	pacsin3	ENSDART00000158518	XM_005166594	ENSDARP00000138125
ENSDARG00000099339	pacsin3	ENSDART00000158518	XM_005166593	ENSDARP00000138125
ENSDARG00000105643	si:dkey-181f22.4	ENSDART00000173556	XM_009303185	ENSDARP00000142726
ENSDARG00000105643	si:dkey-181f22.4	ENSDART00000173556	XM_005166398	ENSDARP00000142726
ENSDARG00000053702	il2rgb	ENSDART00000149435	XM_009291083	ENSDARP00000124621
ENSDARG00000039820	mea1	ENSDART00000143456	XM_005156496	ENSDARP00000117055
ENSDARG00000035333	mis18a	ENSDART00000051198	XM_021479407	ENSDARP00000051197
